Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
1,UCF,American (East),9,8,0,9.45,5.22,14.67,100.00,-41.57,14.11,1.00,10.38,-0.40,11.53,0.62
2,Notre Dame,Ind,3,9,0,8.84,8.87,17.71,98.06,-43.17,14.71,-0.68,8.76,-0.85,10.81,-0.23
3,Clemson,ACC (Atlantic),2,9,0,5.18,15.29,20.47,100.00,-51.98,13.92,0.13,11.85,-2.01,12.15,-0.60
4,Alabama,SEC (West),1,9,0,11.03,17.14,28.17,100.00,-53.29,18.10,-1.20,10.24,-1.50,12.92,-0.69
5,UAB,CUSA (West),,8,1,-4.07,9.07,5.01,93.77,-44.12,13.48,0.56,9.61,-0.27,10.50,0.58
6,Buffalo,MAC (East),,8,1,4.85,1.72,6.57,96.98,-36.61,14.40,0.73,8.44,0.03,10.52,0.92
7,Cincinnati,American (East),,8,1,-3.29,12.27,8.98,93.84,-47.67,13.21,-0.62,9.22,-1.37,10.31,-0.40
8,Washington State,Pac-12 (North),10,8,1,9.83,0.73,10.56,100.00,-36.22,14.03,0.35,7.98,-0.12,11.40,0.45
9,Utah State,MWC (Mountain),18,8,1,8.61,2.61,11.22,100.00,-37.39,13.48,0.79,10.10,-0.60,11.13,0.54
10,Fresno State,MWC (West),20,8,1,0.13,13.62,13.75,98.61,-49.24,14.36,-0.04,8.27,-0.69,10.65,0.08
11,Ohio State,Big Ten (East),8,8,1,8.90,5.19,14.09,100.00,-38.59,15.10,1.73,8.63,-0.40,11.35,1.11
12,West Virginia,Big 12,12,7,1,10.54,5.52,16.06,100.00,-42.33,16.43,1.17,9.31,-0.44,12.26,0.71
13,Oklahoma,Big 12,7,8,1,19.66,0.87,20.52,100.00,-35.89,18.58,1.09,11.30,-0.82,13.90,0.67
14,Georgia,SEC (East),6,8,1,10.72,13.08,23.80,100.00,-51.09,16.02,-1.12,10.77,-0.70,12.33,-0.29
15,Michigan,Big Ten (East),5,8,1,6.89,17.69,24.57,100.00,-51.46,14.75,-1.18,9.88,-1.94,11.25,-1.19
16,South Florida,American (East),,7,2,1.80,-5.08,-3.28,89.75,-30.68,12.83,0.89,9.62,0.53,10.68,1.10
17,San Diego State,MWC (West),,7,2,-5.34,6.64,1.30,83.38,-42.68,13.59,0.02,8.81,-1.33,10.07,-0.12
18,Georgia Southern,Sun Belt,,7,2,-1.38,4.17,2.79,88.88,-41.07,15.43,1.64,9.52,-0.09,10.32,1.13
19,Troy,Sun Belt,,7,2,-2.49,5.29,2.80,89.23,-39.87,13.05,1.12,9.17,-1.27,10.32,0.30
20,Houston,American (West),17,7,2,12.52,-7.02,5.50,100.00,-28.58,14.64,1.98,10.10,-0.56,11.77,1.18
21,Boise State,MWC (Mountain),,7,2,6.05,0.46,6.50,100.00,-34.35,13.98,2.55,8.57,-0.61,10.80,1.40
22,North Texas,CUSA (West),,7,2,2.95,3.81,6.76,97.37,-40.66,13.92,1.28,8.35,-0.58,10.72,0.91
23,Appalachian State,Sun Belt,,6,2,-0.70,8.82,8.13,98.80,-44.86,13.45,-1.12,10.09,-1.13,10.92,-0.38
24,Boston College,ACC (Atlantic),24,7,2,4.53,3.83,8.36,98.17,-41.10,14.27,-0.23,8.92,-0.67,10.39,-0.06
25,North Carolina State,ACC (Atlantic),,6,2,5.49,2.94,8.43,97.55,-39.24,14.80,2.22,8.66,-1.29,11.16,1.39
26,Army,Ind,,7,2,-1.32,10.95,9.63,90.90,-45.02,16.50,1.34,8.85,0.00,9.63,1.40
27,Syracuse,ACC (Atlantic),22,7,2,11.84,-1.97,9.87,100.00,-35.80,12.72,1.66,9.00,-0.53,10.13,0.99
28,Kentucky,SEC (East),11,7,2,1.54,13.94,15.48,95.45,-53.37,13.86,-0.75,10.13,-1.30,11.02,-0.49
29,LSU,SEC (West),4,7,2,5.79,13.77,19.56,98.41,-54.90,13.94,-1.17,9.20,-1.10,10.69,-0.48
30,Florida International,CUSA (East),,6,3,-2.74,0.18,-2.56,90.12,-34.51,14.07,1.10,8.42,1.10,10.44,1.40
31,Marshall,CUSA (East),,5,3,-2.15,0.64,-1.51,87.29,-36.50,12.08,0.90,8.52,-0.96,9.63,0.44
32,Louisiana Tech,CUSA (West),,6,3,-1.36,0.42,-0.94,89.74,-36.30,12.59,1.06,8.57,0.20,10.00,1.08
33,Northern Illinois,MAC (West),,6,3,-5.00,4.57,-0.43,83.66,-37.89,11.06,1.25,8.63,-1.39,9.15,0.29
34,Middle Tennessee State,CUSA (East),,6,3,-0.56,0.60,0.04,90.14,-34.58,12.84,0.83,8.20,0.17,9.87,1.00
35,Ohio,MAC (East),,6,3,7.24,-5.22,2.02,99.95,-31.86,14.95,2.85,9.99,0.29,11.49,2.10
36,Oregon,Pac-12 (North),,6,3,5.57,-1.36,4.21,98.53,-33.28,14.32,0.96,8.76,0.05,10.87,0.71
37,Virginia,ACC (Coastal),23,6,3,-1.94,8.36,6.42,88.40,-45.07,13.24,0.79,8.93,-0.61,10.19,0.55
38,Duke,ACC (Coastal),,6,3,3.48,5.01,8.48,95.65,-41.59,13.20,0.03,8.98,0.09,10.36,0.79
39,Wisconsin,Big Ten (West),,6,3,3.24,5.59,8.83,93.71,-38.81,13.31,1.28,10.91,0.57,11.41,1.37
40,Washington,Pac-12 (North),,7,3,0.18,9.70,9.88,92.51,-46.63,15.23,-0.52,9.05,-0.73,11.24,-0.20
41,Utah,Pac-12 (South),16,6,3,2.40,8.19,10.59,94.64,-43.32,14.21,-0.18,9.62,-1.15,11.14,-0.26
42,Auburn,SEC (West),,6,3,1.40,9.33,10.73,97.66,-49.06,14.18,-0.15,9.25,-1.32,10.85,-0.25
43,Texas,Big 12,15,6,3,8.03,2.77,10.80,97.38,-39.06,14.02,0.56,8.38,-0.82,10.60,0.43
44,Florida,SEC (East),13,6,3,4.75,7.50,12.26,100.00,-46.46,14.04,-0.46,9.94,-0.52,11.18,-0.03
45,South Carolina,SEC (East),,5,3,8.64,3.73,12.38,100.00,-41.65,14.10,-0.74,9.54,-0.81,11.06,-0.19
46,Michigan State,Big Ten (East),,6,3,1.17,11.65,12.82,89.63,-47.22,13.19,0.60,8.30,-2.41,10.18,-0.08
47,Penn State,Big Ten (East),14,6,3,7.79,5.29,13.08,100.00,-39.81,13.72,-0.17,10.61,-0.61,11.37,0.09
48,Iowa State,Big 12,,5,3,2.22,10.93,13.15,93.09,-47.91,14.76,-0.45,8.50,-1.63,10.78,-0.61
49,Mississippi State,SEC (West),21,6,3,-1.65,15.68,14.03,99.56,-53.52,13.85,-1.08,10.99,-1.57,11.66,-0.71
50,Iowa,Big Ten (West),19,6,3,5.65,9.02,14.67,95.31,-45.08,13.79,0.64,8.53,-2.07,10.36,-0.18
