Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Scoring Off,Scoring Def,Passing Off,Passing Def,Rushing Off,Rushing Def,Total Off,Total Def
1,Wisconsin,Big Ten (West),7,13,1,8.27,14.34,22.61,76.04,-26.02,12.42,2.49,7.72,0.69,9.75,1.23
2,Georgia,SEC (East),2,13,2,9.97,12.50,22.47,79.54,-27.03,13.13,1.41,8.59,0.80,10.52,0.88
3,Ohio State,Big Ten (East),5,12,2,9.81,12.01,21.82,83.21,-22.97,12.34,2.40,8.25,0.28,10.30,0.98
4,Penn State,Big Ten (East),8,11,2,11.03,10.59,21.62,83.95,-23.09,12.29,2.74,7.66,1.29,10.16,1.72
5,Alabama,SEC (West),1,13,1,4.67,16.58,21.25,80.58,-30.46,12.53,1.18,8.51,0.12,10.39,0.34
6,Clemson,ACC (Atlantic),4,12,2,5.99,14.63,20.62,78.57,-29.25,11.25,1.67,7.66,0.31,9.55,0.67
7,Notre Dame,Ind,11,10,3,10.24,9.17,19.41,79.00,-20.33,10.59,2.07,9.07,1.18,10.00,1.44
8,Oklahoma,Big 12,3,12,2,17.63,1.42,19.05,87.70,-14.87,15.55,3.53,8.39,2.10,11.88,2.43
9,Auburn,SEC (West),10,10,4,5.78,12.17,17.95,75.74,-26.85,12.55,1.29,7.49,0.68,9.78,0.73
10,UCF,American (East),6,13,0,14.05,2.85,16.90,83.79,-14.57,13.31,3.81,7.47,1.85,10.44,2.58
11,Washington,Pac-12 (North),16,10,3,5.38,10.84,16.22,76.29,-24.29,12.29,2.40,7.36,0.78,9.86,1.11
12,Miami (FL),ACC (Coastal),13,10,3,7.05,7.94,14.98,73.83,-21.41,11.47,2.65,7.88,0.94,9.93,1.45
13,Texas Christian,Big 12,9,11,3,2.41,12.30,14.71,72.78,-26.08,11.43,2.75,7.00,0.52,9.30,1.20
14,Iowa,Big Ten (West),30,8,5,5.84,8.83,14.66,72.80,-20.99,10.98,2.40,6.59,1.87,8.76,1.88
15,Michigan State,Big Ten (East),15,10,3,2.27,11.56,13.83,66.57,-22.67,10.81,2.94,6.65,0.81,8.76,1.66
16,Michigan,Big Ten (East),30,8,5,3.85,9.59,13.44,68.56,-21.55,10.36,2.39,7.18,0.91,8.77,1.32
17,Oklahoma State,Big 12,14,10,3,15.09,-2.00,13.09,86.56,-10.99,13.49,3.64,7.30,1.57,10.67,2.18
18,USC,Pac-12 (South),12,11,3,7.47,4.91,12.37,72.85,-16.55,12.52,3.23,7.17,1.87,10.03,2.10
19,North Carolina State,ACC (Atlantic),23,9,4,8.62,3.54,12.17,75.49,-17.44,11.41,3.39,7.46,1.24,9.63,2.08
20,Mississippi State,SEC (West),19,9,4,2.48,9.37,11.85,73.62,-21.50,10.20,2.86,7.86,1.05,9.15,1.43
21,LSU,SEC (West),18,9,4,2.88,8.90,11.77,69.28,-22.59,12.93,2.68,7.57,1.19,9.90,1.56
22,Wake Forest,ACC (Atlantic),30,8,5,10.47,0.95,11.42,78.88,-15.37,12.62,3.19,7.39,1.45,10.01,2.05
23,Northwestern,Big Ten (West),17,10,3,2.92,8.44,11.36,70.46,-19.67,10.37,3.07,6.63,0.93,8.64,1.86
24,Stanford,Pac-12 (North),20,9,5,5.73,5.11,10.84,73.23,-18.32,11.18,3.64,8.53,2.29,10.06,2.48
25,Virginia Tech,ACC (Coastal),24,9,4,-2.54,13.10,10.56,68.60,-26.67,11.22,3.78,6.29,0.98,8.73,1.82
26,Iowa State,Big 12,30,8,5,1.93,7.84,9.77,69.45,-22.79,11.16,3.11,6.00,1.42,8.93,1.84
27,Purdue,Big Ten (West),30,7,6,0.93,8.82,9.74,65.84,-21.79,10.57,3.52,6.92,0.85,9.00,1.85
28,Louisville,ACC (Atlantic),30,8,5,10.53,-0.85,9.67,81.12,-13.21,12.40,4.18,9.16,1.67,10.98,2.40
29,Boston College,ACC (Atlantic),30,7,6,2.09,7.30,9.39,69.29,-19.97,9.95,2.46,7.53,2.30,8.76,1.99
30,Boise State,MWC (Mountain),22,11,3,6.86,1.80,8.67,71.98,-14.03,11.82,3.00,6.35,1.18,9.19,1.73
31,Memphis,American (West),25,10,3,12.29,-3.77,8.52,80.74,-8.29,11.50,3.44,7.61,2.02,9.90,2.40
32,Texas,Big 12,30,7,6,-0.31,8.52,8.21,67.66,-22.56,10.40,2.92,6.06,0.65,8.48,1.43
33,Florida State,ACC (Atlantic),35,7,6,-0.49,8.56,8.07,70.53,-22.63,11.23,1.92,7.18,0.89,9.24,1.10
34,Florida Atlantic,CUSA (East),35,11,3,6.72,1.29,8.01,75.88,-11.88,11.26,3.19,8.20,2.21,9.75,2.34
35,South Carolina,SEC (East),35,9,4,-0.35,8.13,7.77,65.48,-21.15,11.13,2.70,6.62,1.21,9.10,1.65
36,South Florida,American (East),21,10,2,6.97,0.31,7.27,72.27,-11.92,10.94,3.20,6.95,1.44,8.82,1.97
