School,AP Rank,W,L,Pass Cmp,Pass Att,Pass Pct,Pass Yds,Pass TD,Rush Att,Rush Yds,Rush Avg,Rush TD,Total Plays,Total Yds,Total Avg,FstD Pass,FstD Rush,FstD Pen,FstD Tot,Pen No,Pen Yds,Fum,Int,Tot Turn,SOS
Wisconsin,7,13,1,0.9,-5.0,14.2,28.5,1.0,13.6,124.8,1.8,1.5,8.5,153.2,1.7,2.2,5.0,0.0,7.1,0.0,3.1,0.0,-0.3,-0.4,15
Georgia,2,13,2,-3.9,-8.8,5.2,8.0,0.3,11.2,132.4,2.1,2.3,2.3,140.4,2.0,0.6,4.7,-0.1,5.1,1.1,16.0,0.0,-0.2,-0.2,8
Ohio State,5,12,2,2.9,-0.5,10.2,66.9,1.7,6.2,138.3,2.9,1.5,5.7,205.3,2.5,1.6,6.9,0.0,8.6,1.0,15.9,-0.2,-0.2,-0.3,5
Penn State,8,11,2,3.0,0.7,7.3,78.7,1.6,0.1,50.8,1.5,1.7,0.7,129.5,1.8,3.8,0.9,0.6,5.4,-2.0,-20.1,-1.0,0.0,-0.9,12
Alabama,1,13,1,-1.8,-6.6,7.5,27.7,1.4,9.0,154.9,2.9,2.0,2.4,182.7,2.6,0.5,7.0,-0.4,6.8,0.5,8.1,0.1,-1.2,-1.0,22
Notre Dame,11,10,3,-5.4,-7.1,-4.9,-35.8,-0.3,4.1,115.0,2.3,2.0,-3.1,79.2,1.4,-2.2,2.7,0.4,1.0,-0.7,-6.5,-0.3,0.0,-0.2,2
Clemson,4,12,2,-5.4,-7.1,-4.9,-35.8,-0.3,4.1,115.0,2.3,2.0,-3.1,79.2,1.4,-2.2,2.7,0.4,1.0,-0.7,-6.5,-0.3,0.0,-0.2,10
Oklahoma,3,12,2,3.0,-0.9,11.4,123.4,1.8,3.2,61.4,1.2,0.7,2.3,184.7,2.5,4.9,1.8,-1.1,5.4,0.6,12.7,-0.2,-0.2,-0.4,25
Auburn,10,10,4,1.6,-3.3,12.6,50.8,0.4,8.2,81.3,1.2,1.6,4.8,132.0,1.5,1.1,4.4,0.2,5.7,-1.5,-9.9,0.1,0.0,0.0,11
UCF,6,13,0,2.0,-3.6,12.2,63.7,1.1,0.2,39.4,1.0,1.8,-3.4,103.0,1.8,2.3,0.7,0.6,3.7,0.1,-5.9,-0.4,-0.8,-1.3,65
Washington,16,10,3,-2.4,-5.3,3.8,25.0,0.7,1.2,81.5,2.1,2.0,-4.1,106.7,2.0,1.5,1.7,0.8,4.0,0.0,-5.3,-0.2,-0.8,-1.0,60
Miami,13,10,3,-2.2,-1.6,-4.0,25.4,0.5,-9.7,13.7,1.6,0.7,-11.4,39.2,1.5,-0.1,-1.0,-0.3,-1.5,-0.5,-1.1,-0.8,-0.2,-1.0,13
TCU,9,11,3,4.0,-0.4,13.8,17.6,0.4,3.8,70.2,1.6,1.3,3.4,87.8,1.0,1.1,3.9,-0.3,4.7,1.6,11.0,0.1,-0.3,-0.2,39
Iowa,30,8,5,-4.5,-8.0,0.1,-23.0,0.6,2.0,-5.4,-0.3,0.5,-6.0,-28.4,0.0,-1.8,0.5,-0.1,-1.4,-1.0,-13.6,0.6,-1.1,-0.5,3
Michigan State,15,10,3,0.5,-0.1,1.6,13.3,0.3,13.5,73.1,0.6,0.5,13.5,86.4,0.3,1.3,4.2,0.3,5.8,1.7,13.6,0.2,-0.5,-0.3,15
Michigan,30,8,5,1.9,1.4,4.7,21.1,-0.1,6.0,56.8,0.9,0.8,7.4,77.9,0.7,1.6,2.7,-0.7,3.7,1.1,11.1,0.3,0.0,0.3,9
Ok State,14,10,3,4.6,3.3,7.0,120.6,1.3,-0.4,41.5,1.1,0.8,2.9,162.0,1.9,5.3,0.5,-0.1,5.6,-0.7,-2.4,0.3,-0.5,-0.2,52
USC,12,11,3,3.7,1.2,8.6,62.0,0.3,2.1,26.9,0.4,0.7,3.3,88.9,1.0,4.4,0.9,-1.1,4.2,0.9,13.6,0.4,-0.2,0.1,27
NC State,23,9,4,4.1,1.6,8.7,21.9,-0.4,4.6,46.0,0.8,1.5,6.2,68.0,0.4,2.0,1.6,0.2,3.8,0.1,6.3,0.0,-0.6,-0.6,21
Miss St,19,9,4,2.5,3.0,3.5,-7.8,0.3,14.3,120.1,1.4,0.9,17.3,112.3,0.3,2.1,7.8,-0.4,9.5,1.3,6.4,0.0,0.1,0.1,43
Alabama,2,14,1,-0.5,-6.0,9.7,12.4,0.7,10.9,181.1,3.8,1.9,4.9,193.5,2.5,-0.2,7.4,-0.6,6.5,1.8,12.6,-0.2,-0.5,-0.6,1
Clemson,1,14,1,11.3,9.8,14.7,152.0,2.1,4.3,40.7,0.6,0.7,14.2,192.8,1.6,8.0,2.1,-0.2,9.9,-1.6,-9.8,0.2,-0.2,0.1,4
Washington,4,12,2,-0.3,-3.0,5.1,75.9,2.5,1.1,64.2,1.6,0.6,-1.9,140.0,2.2,2.5,3.1,-0.7,5.0,-0.9,-5.4,-0.6,-0.8,-1.3,25
Oh St,6,11,2,4.5,0.7,13.4,41.7,1.2,8.2,117.3,2.0,1.9,8.8,159.0,1.6,0.9,6.7,0.9,8.6,1.8,9.4,-0.1,-1.1,-1.2,3
Michigan,10,10,3,6.5,3.3,18.0,69.5,0.7,6.9,94.1,1.7,2.5,10.2,163.5,1.7,3.7,4.0,-0.3,7.5,-0.6,3.8,-0.1,-0.5,-0.6,19
